m,lambda,model
1.94824412837621,93.6275555876223,BSR6
1.96827828817762,86.5151447673081,BSR6
1.98767497767651,80.1110900485939,BSR6
2.00644408505043,74.3325397827497,BSR6
2.02459793356942,69.1070824013917,BSR6
2.04214761126686,64.3722445226299,BSR6
2.05910625783006,60.0731561954801,BSR6
2.07548656560043,56.1620939961495,BSR6
2.09130166102119,52.5972431583956,BSR6
2.10656524355413,49.3418449495776,BSR6
2.12129049645013,46.3637193175933,BSR6
2.13549117123537,43.6344209175702,BSR6
2.14918058572694,41.1289270193579,BSR6
2.16237269240752,38.8249903178175,BSR6
2.17508094038438,36.7029723306537,BSR6
2.1873188961324,34.7454029617974,BSR6
2.19909978906998,32.9367739180558,BSR6
2.21043666201492,31.2632700863334,BSR6
2.22134266309328,29.7125172846128,BSR6
2.23183009291685,28.2735379790003,BSR6
2.24191214598478,26.9363515313558,BSR6
2.25160059564919,25.6921544604244,BSR6
2.2609077746654,24.5329344589453,BSR6
2.26984515955459,23.451551232176,BSR6
2.27842432258455,22.4415248523314,BSR6
2.28665660983536,21.4969991385237,BSR6
2.294552893312,20.6127004387875,BSR6
2.3021238408888,19.7838450474642,BSR6
2.30937969967207,19.0061093000181,BSR6
2.31633081690659,18.275527402367,BSR6
2.32298666218797,17.5885532484995,BSR6
2.32935685691437,16.9419161985424,BSR6
2.33545085034723,16.3326224490208,BSR6
2.34127746404403,15.7579738522668,BSR6
2.34684550028739,15.2154802468103,BSR6
2.35216335840329,14.7028756177725,BSR6
2.35723909379437,14.2180918608403,BSR6
2.36208077231018,13.7592074865243,BSR6
2.36669612494936,13.3244652256442,BSR6
2.3710925268781,12.9122595562849,BSR6
2.37527718466388,12.5211067934163,BSR6
2.37925710684,12.1496365584978,BSR6
2.38303898072162,11.7965936222035,BSR6
2.38662941854906,11.4608059248476,BSR6
2.39003469006893,11.1412016571647,BSR6
2.39326096743515,10.8367791863058,BSR6
2.39631414837326,10.5466174785989,BSR6
2.39919989320663,10.2698664310163,BSR6
2.40192379545915,10.0057276733947,BSR6
2.40449119460381,9.75346368728997,BSR6
2.40690726251935,9.51238953043332,BSR6
2.40917698967062,9.28186860878893,BSR6
2.41130523033433,9.06130511300334,BSR6
2.41329664900674,8.85014659768797,BSR6
2.41515577476062,8.64787577738315,BSR6
2.41688696734023,8.45401173573862,BSR6
2.41849447299253,8.26810160042135,BSR6
2.41998236040085,8.08972598105156,BSR6
2.42135459922386,7.91848816748943,BSR6
2.42261497502761,7.75402310613001,BSR6
2.4237671841631,7.59598446717278,BSR6
2.42481482919552,7.44404317446548,BSR6
2.42576134456655,7.29789687662182,BSR6
2.4266100546225,7.15726157513677,BSR6
2.42736421338682,7.0218638926887,BSR6
2.42802691017557,6.89145654950341,BSR6
2.42860118314569,6.76579789764197,BSR6
2.42908994732163,6.64466439353965,BSR6
2.42949602458619,6.52784504239807,BSR6
2.42982214490191,6.41514072434321,BSR6
2.43007094931494,6.30636315111063,BSR6
2.4302449909803,6.20133604226736,BSR6
2.43034674334823,6.09989227118867,BSR6
2.43037859846367,6.0018705668875,BSR6
0.806371074609226,11858.163187595,DD2
0.859067697142242,8727.43662053922,DD2
0.912327018078305,6499.8728380035,DD2
0.965906530487322,4897.35944847764,DD2
1.01957440221269,3731.88348884477,DD2
1.07311192879438,2875.13967746835,DD2
1.12631486118684,2238.73160244324,DD2
1.17899544083866,1761.15896607724,DD2
1.23098611114606,1399.20438320639,DD2
1.28213527176578,1122.23920654205,DD2
1.33231033459789,908.3344645854,DD2
1.38139862115571,741.642866570397,DD2
1.4293030693575,610.620208560467,DD2
1.4759429762096,506.77753853853,DD2
1.52125543680013,423.814899926535,DD2
1.56518994011604,357.025176198474,DD2
1.60770905564742,302.859707419062,DD2
1.64878932026933,258.620162110353,DD2
1.68841587790753,222.243280389965,DD2
1.726583911912,192.137441283277,DD2
1.76329660204548,167.066833749864,DD2
1.7985655580416,146.064472827126,DD2
1.83240716952241,128.370144336076,DD2
1.86484314855597,113.381615209202,DD2
1.89590077723636,100.618465491251,DD2
1.92560969372857,89.6960773895456,DD2
1.95400266957247,80.3042668322697,DD2
1.98111457591572,72.1916231650976,DD2
2.00698309518853,65.1529643691562,DD2
2.03164597080389,59.0205384487976,DD2
2.05514173008823,53.6562508261241,DD2
2.07751065489724,48.9456133226556,DD2
2.09879192551787,44.7937604029711,DD2
